Period,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Magnitude,Support,Variety,Minimum trace length,Average trace length,Maximum trace length,Level of detail,Pentland task complexity,Pentland process complexity,Lempel-Ziv,Distinct traces,Distinct traces (percentage),Structure,Affinity,Deviation from random,Average edit distance
1,0.0,0.0,0.0,0.0,300.0,50.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,106.0,1.0,2.0,0.8611111111111112,1.0,0.5850033467337088,0.0
2,0.0,0.0,0.0,0.0,280.0,50.0,6.0,5.0,5.6,6.0,5.6,6.0,1.0,103.0,2.0,4.0,0.8611111111111112,0.9020408163265307,0.5777780541461675,0.4897959183673469
3,0.0,0.0,0.0,0.0,260.0,50.0,6.0,5.0,5.2,6.0,5.2,6.0,1.0,94.0,2.0,4.0,0.8611111111111112,0.9346938775510204,0.5513941980615054,0.32653061224489793
4,0.0,0.0,0.0,0.0,250.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,85.0,1.0,2.0,0.84,1.0,0.5417424305044161,0.0
5,0.0,0.0,0.0,0.0,250.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,85.0,1.0,2.0,0.84,1.0,0.5417424305044161,0.0
6,0.0,0.0,0.0,0.0,250.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,81.0,1.0,2.0,0.84,1.0,0.5417424305044161,0.0
7,5.292505905263855,0.31814466764165494,132.01183302046442,0.10554544330597035,230.0,50.0,5.0,4.0,4.6,5.0,4.6,9.0,1.202264434617413,78.0,2.0,4.0,0.8,0.7061224489795919,0.5731250508378103,0.4897959183673469
8,5.292505905263855,0.31814466764165494,143.41070198709906,0.1277154238581097,210.0,50.0,5.0,4.0,4.2,5.0,4.2,9.0,1.202264434617413,69.0,2.0,4.0,0.8,0.8040816326530612,0.525,0.32653061224489793
9,0.0,0.0,0.0,0.0,200.0,50.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,61.0,1.0,2.0,0.8125,1.0,0.47958350013346684,0.0
10,0.0,0.0,0.0,0.0,200.0,50.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,57.0,1.0,2.0,0.8125,1.0,0.47958350013346684,0.0
11,0.0,0.0,0.0,0.0,200.0,50.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,54.0,1.0,2.0,0.8125,1.0,0.47958350013346684,0.0
12,2.5020121176909393,0.3109175070825711,62.789777251745896,0.06717407940395917,180.0,50.0,4.0,3.0,3.6,4.0,3.6,7.0,1.202264434617413,57.0,2.0,4.0,0.75,0.6326530612244898,0.535665520475014,0.4897959183673469
13,2.5020121176909393,0.3109175070825711,89.9736231390093,0.11080115974173782,160.0,50.0,4.0,3.0,3.2,4.0,3.2,7.0,1.202264434617413,49.0,2.0,4.0,0.75,0.7551020408163265,0.45882359546406093,0.32653061224489793
